level1_id,level1_name,bucket_id,bucket_name,hotword_applicable,term_count,relative_file,sha256,coverage_status,note
ASR-LOC,地点与地址,ASR-LOC-01,行政区与道路,yes,117,by_level2/ASR-LOC-01.txt,8e41ff1403f8db5f4c9d2d2041357e13bf5ffe7a0a39c79324ee66a4451a3017,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-02,门牌与路口,yes,4,by_level2/ASR-LOC-02.txt,9cb75e74a3752e1d422dfe0ab4d9e011470b7968e25b5c7a96f05f7c247eb676,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-03,园区、小区与AOI,yes,394,by_level2/ASR-LOC-03.txt,9e2b318fa365836295e739a3705e07821feb64741d6ed3559f824835d05ebb0d,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-04,企业与机构专名,yes,363,by_level2/ASR-LOC-04.txt,f89ce990ad528ebed1a3093375192be92fbd66498cb21603178ac6343e35f11b,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-05,门店、POI与地标,yes,299,by_level2/ASR-LOC-05.txt,2072f9a78c0135d8594f27a852640c48514189f50083d0a23bff576437f5c226,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-06,楼栋、单元与房间,yes,7,by_level2/ASR-LOC-06.txt,f79b466f642b5a5f50bfde7f6a0a07a3a4abd5839c3e9a3c49a073714cff775a,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-07,楼层与地下层,yes,72,by_level2/ASR-LOC-07.txt,445945a30c2b6e31742f4d8bea24e76b9ad0d5286e088930aba627b5869528ff,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-08,出入口与局部区域,yes,14,by_level2/ASR-LOC-08.txt,b1d862bf0eaf61e1443a66bbdf7e876d3214b4daaf1d620e43c4565f5b738702,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-09,地址简称与俗称,yes,0,by_level2/ASR-LOC-09.txt,178d35dfad76f194964f1a344d99957b024e9bf677c6dc1cd74cfa05c9678a37,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-10,同音与近音地名,no,0,by_level2/ASR-LOC-10.txt,16eca63ae9a47f90779c3dbd6b736bf5fb549b3166d9daa9df7b17036fd36e4b,TEXT_UNVERIFIABLE,当前无可安全自动生成的静态热词
ASR-FIRE,火灾表达,ASR-FIRE-01,起火、着火与冒烟,yes,15,by_level2/ASR-FIRE-01.txt,e03c36402d02e171715d1a3d433a67385b338fdf6eb1724b918b0cca9f8f9765,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-02,火势状态,yes,9,by_level2/ASR-FIRE-02.txt,91483cdd485cc02a5e9c36899c4f72fa7aa32ecbd3c1b660af0fe4a867aa4e9a,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-03,蔓延方向与范围,yes,6,by_level2/ASR-FIRE-03.txt,c230dbea30f768e0b6d43eb76cb253333cc31c475e23741fdb11fde643685433,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-04,烟雾状态,yes,11,by_level2/ASR-FIRE-04.txt,949047ca2e2549d9167a19c13ce7e854f40854f371cbdedaebebeb79fed18c34,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-05,起火部位,yes,22,by_level2/ASR-FIRE-05.txt,4a2b2f85e4054286283dcca0b1a0e0bfd71a7c5b2aec069a795257580e1c31d2,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-06,燃烧物,yes,25,by_level2/ASR-FIRE-06.txt,810fd9607d8d3fc0d00c1d2a53a4b97e15d3fff5de18548832d60f6c3f90aa34,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-07,爆炸与危险征兆,yes,4,by_level2/ASR-FIRE-07.txt,513daf1d3f1289166895981909200ca2ad98fddf31c9ad3be14dca81ac7fd6a2,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-08,消防设施状态,yes,0,by_level2/ASR-FIRE-08.txt,77619597dec5adadc468fbc1f925ab79bdca1c8e5d2cc8b0f1f30e707d9be660,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-PER,人员与生命安全,ASR-PER-01,人员状态,yes,16,by_level2/ASR-PER-01.txt,029fd6a645a8a01529e90a85cc1c38eb995c56e36f3becc7ac774427d1841aea,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-PER,人员与生命安全,ASR-PER-02,特殊人群,yes,7,by_level2/ASR-PER-02.txt,e6ec6f667851654cedd745452f3b36275c505ea625ada59d8aa76e9cac976927,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-01,人数与户数,no,0,by_level2/ASR-NUM-01.txt,f8e1804be9c17d940d31501698f5cb247f7148232cd8c3df33d91f26af7cb7de,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-02,楼栋、单元、楼层与房间编号,no,0,by_level2/ASR-NUM-02.txt,f1c01dfbb8725e968c2e2c91b403014f64931335d65131d089dc1f6a9f4e4e18,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-03,道路门牌,no,0,by_level2/ASR-NUM-03.txt,68b9bc3d54bf37e6a54338bf3e9bbb68647f38e92a8c411b1834889919ccd967,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-04,距离与范围,no,0,by_level2/ASR-NUM-04.txt,30771373ff5373e0be7ba2c7722b9a1e13e6ad03b07dce802a910647766d5b8c,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-05,电话及业务编号,no,0,by_level2/ASR-NUM-05.txt,53816156ee80927d31e0f220545d02bc13d7eb9eed9c6a20ca4a0cfb6f3dacf4,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-06,约数和范围,no,0,by_level2/ASR-NUM-06.txt,dd43c98137f5dabc44c3f5228572ff57f534e8627239a1168917c88981eb9cc3,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-01,否定,no,0,by_level2/ASR-NEG-01.txt,0696a6596b0d8a45f4db13ef8d2ee1859015234de79bbde8f99edce41b3fbd3c,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-02,改口,no,0,by_level2/ASR-NEG-02.txt,d21e12e84b03eb500577cf02c8838944ec8b630cebfb856bb3c9f13b5f8f1ba5,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-03,不确定,no,0,by_level2/ASR-NEG-03.txt,8441b529df9e6c8b35b56947ae8f4cf16661291859623af2a11418f24f987c7f,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-04,状态变化,no,0,by_level2/ASR-NEG-04.txt,7fd37de2e72e1ee19a5bf15685489c31dc874d933a0d2f216d4e0a50d12d14f6,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-SCENE,其他警情专业表达,ASR-SCENE-01,社会救助,yes,7,by_level2/ASR-SCENE-01.txt,912bdaa089149672e779ce1c9831cecba23045c384e9c9dc92a566f08406848d,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-02,抢险救援,yes,18,by_level2/ASR-SCENE-02.txt,ea29e68f6bd79cf8dbfec2fe6924935a19932052ae6f21900eab3c8e4e8044fd,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-03,走失与失踪,yes,4,by_level2/ASR-SCENE-03.txt,3f6d3a71aaafe74c5dc84ca46a782cec1c5d28911ba9e953baeaa33e4d9af005,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-04,轻生,yes,6,by_level2/ASR-SCENE-04.txt,4c8040161efce1e3bee0b2d29690362651dffe7ee7722f1419db2b9cee271f00,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-05,溺水与水域救援,yes,6,by_level2/ASR-SCENE-05.txt,d7f8f0e511991f55c2179c0d3cfd74f710c298e92b93580bac905a83f685e106,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-06,内涝与积水,yes,3,by_level2/ASR-SCENE-06.txt,5912d82b288331f5dffedfbc57bb3fd36ff2646b6f938e1f3f58286918f2a101,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-07,井下与受限空间,yes,5,by_level2/ASR-SCENE-07.txt,4457eb1cea6f0a8a93b2427630586215befbd394496fa4e8ada394814a946a9d,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-08,高空救援,yes,7,by_level2/ASR-SCENE-08.txt,ac939902e59bf5059ffafe40c5797c40f448015406b07e22a0befb0fc9fd9cc4,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-01,建筑用途,yes,256,by_level2/ASR-BLD-01.txt,61b167041b8c84da97fc8433243a6a5a1d507f35764a3d5da67f56191917a5fc,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-02,建筑结构,yes,12,by_level2/ASR-BLD-02.txt,b11cb7a9e2d35743cac5c991a4acfd9282e2829d7a51d5f0184789e823168fd9,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-03,高度与层数,yes,75,by_level2/ASR-BLD-03.txt,4eb3acd56e51fde1598ad858419e6160a6cf411e80080949bad845829b7c9cd4,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-04,地上与地下,yes,8,by_level2/ASR-BLD-04.txt,8c3fa0d12f5e49e188f044f53473eaf90bb1f545fe9b3df5871e0e8982277cd5,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-05,内部功能区,yes,17,by_level2/ASR-BLD-05.txt,cc4f87019f80410412f826c899f27f677a8f7dee5fc387525acb0074e83d4719,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-01,危险物质,yes,11,by_level2/ASR-HAZ-01.txt,ab701a288ef76911883e2d7db0db8df3afb74f0db39ed5db052776dcb86b09b4,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-02,能量体,yes,12,by_level2/ASR-HAZ-02.txt,6c1b8686b62a4d0a1528e02424270b351f6d6d395c00ba48bab4f0d40187bf7d,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-03,燃烧物,yes,20,by_level2/ASR-HAZ-03.txt,d95c8f01253d636d20c7642e00108afd89cc5546f48dac8f7310ea181371f7b1,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-04,消防设施,yes,8,by_level2/ASR-HAZ-04.txt,08a4242d2b5dd230d0766042535a77edd4ce8a4c9eb830f3266517c8e80e3a81,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-05,消防设施状态,yes,0,by_level2/ASR-HAZ-05.txt,a186c8256fc4438531133ae412ed68f77d2f814f754253132b7898c50625a0a7,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-01,方向,yes,3,by_level2/ASR-SPAT-01.txt,742557c0f169ecff1157edf45e8a839dca322a68cb29044f656616c592181350,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-02,距离,yes,0,by_level2/ASR-SPAT-02.txt,7daa63a0b90faf3adbfa7c4afa7b10ce8b2956df3661ff1e613b37af2a21075a,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-03,方向加距离,yes,0,by_level2/ASR-SPAT-03.txt,b1b06042750f01a06f4a8b2755221be966ea6ce4686e6593af219772107dbbbe,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-04,邻近、对面与拓扑,yes,2,by_level2/ASR-SPAT-04.txt,ef4edbb6e4a90b402fc39298f7bc2cd8aa4ab0544d8f5ef01595a37184749bda,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-05,里面与外面,yes,1,by_level2/ASR-SPAT-05.txt,266db05d08c2b1359dccf9f3d4e5fab79debfe2f794c002005a5e9e6296a6bf2,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-06,边界与入口,yes,4,by_level2/ASR-SPAT-06.txt,5d4141f4fb59e29cb1a13cb8c3ceb90f68338d2394975b20189538aa3827f56c,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-07,约数与模糊范围,yes,0,by_level2/ASR-SPAT-07.txt,3516a9f91a9cc4eac676ec05318c97609dfd12e3a666d8430a964ffa02ac8304,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-01,地区方言候选,no,0,by_level2/ASR-DIALECT-01.txt,678e4db6bb90d67fe2ba566512d7ad860f4bb9f0cbc9b09685c14dfec908c736,AVAILABLE,声学/说话人条件，不适合通过静态热词实现
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-02,口音强度,no,0,by_level2/ASR-DIALECT-02.txt,063efc203feea9dbdb465c1055fa3538d922da0f6e1823265a4c520867566584,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-03,语速,no,0,by_level2/ASR-DIALECT-03.txt,edede8e65accf58df6311517033c0fe6681cfaae5ca9d89f14ddce44e463b905,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-04,吞字、重复、口吃与非规范口语候选,no,0,by_level2/ASR-DIALECT-04.txt,d0271808adf98cd68e739c4ab31d747662b26821c75a974bf3c944525f29aee9,AVAILABLE,声学/说话人条件，不适合通过静态热词实现
