level1_id,level1_name,bucket_id,bucket_name,hotword_applicable,source_term_count,contributed_unique_count,overlap_count,coverage_status,note
ASR-LOC,地点与地址,ASR-LOC-01,行政区与道路,yes,117,117,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-02,门牌与路口,yes,4,4,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-03,园区、小区与AOI,yes,394,291,103,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-04,企业与机构专名,yes,363,40,323,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-05,门店、POI与地标,yes,299,7,292,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-06,楼栋、单元与房间,yes,7,3,4,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-07,楼层与地下层,yes,72,72,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-08,出入口与局部区域,yes,14,10,4,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-09,地址简称与俗称,yes,0,0,0,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-LOC,地点与地址,ASR-LOC-10,同音与近音地名,no,0,0,0,TEXT_UNVERIFIABLE,当前无可安全自动生成的静态热词
ASR-FIRE,火灾表达,ASR-FIRE-01,起火、着火与冒烟,yes,15,15,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-02,火势状态,yes,9,8,1,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-03,蔓延方向与范围,yes,6,6,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-04,烟雾状态,yes,11,8,3,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-05,起火部位,yes,22,5,17,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-06,燃烧物,yes,25,25,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-07,爆炸与危险征兆,yes,4,4,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-FIRE,火灾表达,ASR-FIRE-08,消防设施状态,yes,0,0,0,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-PER,人员与生命安全,ASR-PER-01,人员状态,yes,16,16,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-PER,人员与生命安全,ASR-PER-02,特殊人群,yes,7,7,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-01,人数与户数,no,0,0,0,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
